epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,3886.61,1.95444,2.34184,1.53895,0.55319,0.3031,0.27749,0.16735,2.14987,2.58538,1.44768,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3927.12,1.95624,2.31294,1.52184,0.56436,0.29448,0.27729,0.16783,2.14143,2.58554,1.43511,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,3968.88,1.94735,2.32385,1.5317,0.54433,0.30332,0.27531,0.16914,2.14679,2.58316,1.4421,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,4012.67,1.92983,2.30994,1.52545,0.57725,0.2962,0.28336,0.17175,2.15362,2.57667,1.44794,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,4054.72,1.92671,2.31322,1.53698,0.57378,0.30174,0.28038,0.16968,2.14236,2.57275,1.44954,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,4096.46,1.94021,2.30318,1.51763,0.5893,0.29827,0.28419,0.17057,2.15815,2.57187,1.451,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,4137.77,1.93075,2.28698,1.51403,0.45759,0.30983,0.28397,0.17043,2.14207,2.53936,1.45093,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,4178.54,1.95645,2.35863,1.51683,0.56011,0.30256,0.28587,0.17526,2.1384,2.54801,1.4526,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,4220.56,1.92478,2.27333,1.51629,0.57246,0.29579,0.28066,0.17261,2.15371,2.56654,1.45795,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,4262.75,1.91895,2.29968,1.52158,0.5561,0.29886,0.27776,0.1697,2.14864,2.56771,1.44605,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,4304.1,1.93685,2.27175,1.50356,0.5458,0.30378,0.28071,0.17224,2.14235,2.52825,1.4445,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,4345.9,1.90721,2.23319,1.49613,0.60998,0.28286,0.28028,0.17228,2.13664,2.51439,1.43619,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,4388.09,1.91241,2.26852,1.51105,0.58827,0.30097,0.2864,0.17245,2.13731,2.5095,1.43084,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,4429.9,1.92424,2.26458,1.51213,0.5995,0.29371,0.28785,0.17251,2.12041,2.51405,1.42774,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,4471.82,1.89529,2.25683,1.50727,0.56503,0.31106,0.28971,0.17494,2.12849,2.50808,1.43214,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,4513.05,1.90702,2.25815,1.50231,0.33512,0.3131,0.29203,0.17523,2.13031,2.53774,1.43488,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,4554.15,1.88707,2.20201,1.47295,0.46296,0.31617,0.29407,0.17897,2.12623,2.51076,1.42908,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,4596.26,1.90484,2.26854,1.51706,0.55507,0.32062,0.295,0.17971,2.12391,2.49929,1.42558,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,4637.42,1.88904,2.20714,1.48721,0.56867,0.31593,0.29517,0.18013,2.10912,2.47309,1.42446,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,4678.17,1.88959,2.19971,1.49471,0.57028,0.32016,0.29831,0.17776,2.12267,2.4874,1.43768,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,4720.41,1.88851,2.2142,1.48622,0.5652,0.32001,0.29393,0.17804,2.1252,2.48094,1.43465,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,4761.11,1.88853,2.22047,1.49356,0.57821,0.3253,0.29865,0.18059,2.10947,2.45798,1.42827,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,4802.02,1.89097,2.21836,1.47876,0.58967,0.31363,0.30121,0.18021,2.12198,2.47279,1.42943,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,4844.42,1.88798,2.21432,1.49539,0.58796,0.30959,0.30042,0.17945,2.13401,2.48299,1.4339,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,4886.1,1.87804,2.21366,1.49257,0.478,0.30884,0.30072,0.18032,2.12798,2.47913,1.42376,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,4927.53,1.89029,2.19895,1.48642,0.60368,0.30086,0.29872,0.1815,2.1254,2.47866,1.41906,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,4969.78,1.86923,2.17575,1.47791,0.57676,0.31603,0.29896,0.18427,2.12942,2.49272,1.42303,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,5010.29,1.88034,2.17844,1.46698,0.58874,0.3095,0.29956,0.18367,2.12554,2.48297,1.41794,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,5051.12,1.87628,2.18973,1.4746,0.57266,0.3179,0.29683,0.18354,2.12396,2.47944,1.42208,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,5092.27,1.86388,2.16182,1.4699,0.57081,0.31901,0.2998,0.18433,2.11539,2.46636,1.41935,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,5132.66,1.85761,2.15337,1.46822,0.57589,0.32522,0.30059,0.18544,2.11358,2.47219,1.41555,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,5173.66,1.86437,2.16467,1.47073,0.59202,0.32172,0.30139,0.18593,2.11155,2.4743,1.41456,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,5215.17,1.86643,2.14412,1.475,0.58758,0.32469,0.30563,0.18655,2.10834,2.49293,1.41737,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
