epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,10178.1,1.72873,1.8353,1.45766,0.40372,0.34019,0.30964,0.19994,2.13051,2.37396,1.50394,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,10275.8,1.72319,1.86407,1.46743,0.42489,0.34417,0.31512,0.20053,2.132,2.38778,1.50009,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,10374.8,1.74357,1.86472,1.44851,0.43704,0.34342,0.31055,0.20124,2.11406,2.38174,1.49783,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,10472.5,1.71305,1.82225,1.44028,0.39087,0.35693,0.31195,0.20047,2.12803,2.38989,1.5058,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,10570.6,1.70525,1.85165,1.45656,0.39142,0.34209,0.30847,0.20108,2.14912,2.41243,1.51058,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,10668.8,1.71129,1.82537,1.44206,0.40065,0.3428,0.31048,0.20286,2.135,2.38065,1.51209,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,10766.9,1.69082,1.81104,1.44327,0.41355,0.34528,0.31288,0.20214,2.14516,2.38107,1.50893,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,10864.7,1.70619,1.81739,1.43487,0.43521,0.34255,0.31454,0.20228,2.16063,2.38674,1.52766,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,10962.4,1.68324,1.78276,1.42169,0.39713,0.34711,0.31123,0.20316,2.13905,2.3801,1.5202,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,11064.3,1.70019,1.80539,1.44975,0.47567,0.33897,0.31331,0.20216,2.13091,2.37051,1.52006,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,11166.9,1.69666,1.74906,1.42411,0.46424,0.33552,0.31274,0.20001,2.14337,2.34938,1.52112,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,11269.5,1.68974,1.77924,1.41902,0.44369,0.34416,0.3159,0.2031,2.1415,2.34662,1.5132,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,11368.3,1.68632,1.74795,1.42607,0.42548,0.34782,0.31303,0.20131,2.15023,2.37873,1.52253,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,11466.4,1.68013,1.75725,1.42921,0.42535,0.34263,0.31374,0.20332,2.14806,2.38477,1.52088,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,11564.7,1.68595,1.76633,1.41374,0.42075,0.34845,0.31648,0.20384,2.14303,2.38591,1.51764,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,11662.3,1.66738,1.74601,1.41613,0.39873,0.34321,0.31045,0.2019,2.16373,2.39651,1.52346,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,11759.9,1.67466,1.74716,1.41204,0.40786,0.3353,0.31198,0.20084,2.16098,2.398,1.51982,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,11858.1,1.67908,1.73428,1.42021,0.41561,0.33842,0.31226,0.20042,2.15949,2.40366,1.52442,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,11955.8,1.6456,1.69378,1.40487,0.38607,0.34166,0.31022,0.20365,2.15334,2.41348,1.52339,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,12054,1.66364,1.6942,1.39468,0.41494,0.33642,0.30898,0.2013,2.16448,2.40223,1.5348,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,12152,1.65496,1.70124,1.40448,0.45146,0.34755,0.31404,0.20221,2.16796,2.38895,1.54371,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,12249.8,1.64977,1.68457,1.39734,0.4122,0.34957,0.31655,0.20353,2.17933,2.3992,1.54368,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,12348.1,1.62234,1.66629,1.38395,0.49259,0.34088,0.3144,0.20357,2.1806,2.40423,1.5349,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,12446,1.63108,1.67374,1.3984,0.47521,0.34304,0.31396,0.20316,2.18702,2.39327,1.54114,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,12544.8,1.63735,1.65384,1.39324,0.48293,0.35066,0.31511,0.20374,2.18776,2.40367,1.53857,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,101.257,1.61433,1.62207,1.37702,0.49123,0.34849,0.31812,0.2057,2.19341,2.3983,1.54202,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,200.189,1.63362,1.63439,1.38782,0.48316,0.35161,0.31846,0.20511,2.18264,2.40169,1.53549,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,299.252,1.62241,1.61463,1.37758,0.44913,0.35147,0.31951,0.2049,2.18746,2.40156,1.53548,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,398.562,1.61901,1.63284,1.38524,0.44897,0.34906,0.31833,0.20352,2.19172,2.39582,1.54033,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,498.123,1.62247,1.65107,1.38316,0.46464,0.33377,0.31389,0.20416,2.18748,2.38887,1.54445,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,597.504,1.63022,1.62179,1.38896,0.49485,0.33698,0.31939,0.2049,2.18284,2.39251,1.53917,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,697.352,1.64588,1.65166,1.38177,0.46126,0.34452,0.31752,0.20491,2.18294,2.38535,1.54212,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,796.895,1.63192,1.6191,1.39127,0.41445,0.34598,0.315,0.20305,2.18658,2.39435,1.54643,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,896.349,1.60291,1.57913,1.36454,0.43723,0.34043,0.31434,0.20523,2.1901,2.3984,1.55258,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,995.63,1.60095,1.59297,1.36446,0.42797,0.35245,0.31595,0.20616,2.19051,2.40679,1.55456,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
